GMDandPRIMe_names,MetNames,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,CAS,InChI,Formula,MW,RETENTIONTIME,RETENTIONINDEX
M001099_A278012-101-xxx_NA_2781.6_TRUE_VAR5_ALK_Sophorose (1MEOX) (8TMS) BP,Sophorose,Kojibiose,HMDB0011742,164939,33020,C19632,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O,,InChI=1S/C12H22O11/c13-1-4(16)7(17)8(18)5(2-14)22-12-11(21)10(20)9(19)6(3-15)23-12/h2.4-13.15-21H.1.3H2/t4-.5+.6-.7-.8-.9-.10+.11-.12-/m1/s1,C37H89NO11Si8,948.787,,2781.6
M000000_A278013-101-xxx_NA_2788.69_TRUE_VAR5_ALK_D278931,D278931,,,,,,,,,,,,,2788.69
M000000_A278014-101-xxx_NA_2781.4_PRED_VAR5_ALK_Cytidine_3TMS,Cytidine,,,6175,17562,,3376,,,,,,,2781.4
M000000_A279001-101-xxx_NA_2774.43_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2774.43
M000000_A279002-101-xxx_NA_2779.48_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2779.48
M000000_A279003-101-xxx_NA_2780.47_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2780.47
M000000_A279004-101-xxx_NA_2781.13_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2781.13
M000000_A279005-101-xxx_NA_2782.02_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2782.02
M000000_A279007-101-xxx_NA_2785.3_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2785.3
M001103_A279008-101-xxx_NA_2796.67_TRUE_VAR5_ALK_Prostaglandin E2 (1MEOX) (3TMS) MP,Prostaglandin E2,Prostaglandin E2,HMDB0001220,5280360,15551,C00584,6089,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O,,InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4.7.12-13.15-17.19.21.23H.2-3.5-6.8-11.14H2.1H3.(H.24.25)/b7-4-.13-12+/t15-.16+.17+.19+/m0/s1,C30H59NO5Si3,598.051,,2796.67
M001097_A279009-101-xxx_NA_2798.1_TRUE_VAR5_ALK_Lactobionic acid (TMS) MP,Lactobionic acid,,,,,,,,,InChI=1S/C12H22O12/c13-1-3(15)10(7(18)8(19)11(21)22)24-12-9(20)6(17)5(16)4(2-14)23-12/h3-10.12-20H.1-2H2.(H.21.22)/t3-.4-.5+.6+.7-.8-.9-.10-.12+/m1/s1,C39H94O12Si9,1.007.927,,2798.1
M001104_A279010-101-xxx_NA_2702.97_TRUE_VAR5_ALK_Neuraminic acid. N-glycolyl- (1TMS) (7TMS) MP,Neuraminic acid. N-glycolyl-,N-Glycolylneuraminic acid,HMDB0000833,123802,62084,C03410,3580,C1[C@@H]([C@H]([C@@H](O[C@@]1(C(=O)O)O)[C@@H]([C@@H](CO)O)O)NC(=O)CO)O,1113-83-3,InChI=1S/C11H19NO10/c13-2-5(16)8(18)9-7(12-6(17)3-14)4(15)1-11(21.22-9)10(19)20/h4-5.7-9.13-16.18.21H.1-3H2.(H.12.17)(H.19.20)/t4-.5+.7+.8+.9+.11-/m0/s1,C33H78N2O10Si7,859.579,,2702.97
M001105_A279011-101-xxx_NA_2793.72_TRUE_VAR5_ALK_Pregnane-3alpha-ol-20-one. 5alpha- (1MEOX) (1TMS),Pregnane-3alpha-ol-20-one. 5alpha-,3a-Hydroxy-5b-pregnane-20-one,HMDB0006759,24779614,,C05480,,CC(=O)[C@H]1CCC2[C@@]1(CCC3C2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,,InChI=1S/C21H34O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14.2)19(16)9-11-21(17.18)3/h14-19.23H.4-12H2.1-3H3/t14-.15+.16-.17+.18-.19-.20-.21+/m0/s1,C25H45NO2Si,419.717,,2793.72
M000796_A279012-101-xxx_NA_2814.12_TRUE_VAR5_ALK_Taxifolin (1MEOX) (5TMS) MP,Taxifolin,Taxifolin,METPA0191,,,C01617,,,480-18-2,InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5.14-19.21H/t14-.15?/m0/s1,C31H55NO7Si5,694.199,,2814.12
M001104_A279013-101-xxx_NA_2795.74_TRUE_VAR5_ALK_Neuraminic acid. N-glycolyl- (1TMS) (7TMS) BP,Neuraminic acid. N-glycolyl-,N-Glycolylneuraminic acid,HMDB0000833,123802,62084,C03410,3580,C1[C@@H]([C@H]([C@@H](O[C@@]1(C(=O)O)O)[C@@H]([C@@H](CO)O)O)NC(=O)CO)O,1113-83-3,InChI=1S/C11H19NO10/c13-2-5(16)8(18)9-7(12-6(17)3-14)4(15)1-11(21.22-9)10(19)20/h4-5.7-9.13-16.18.21H.1-3H2.(H.12.17)(H.19.20)/t4-.5+.7+.8+.9+.11-/m0/s1,,,,2795.74
M000563_A280001-101-xxx_NA_2800.02_TRUE_VAR5_ALK_Octacosane. n-,Octacosane. n-,,,,,,,,630-02-4,InChI=1S/C28H58/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-28H2.1-2H3,C28H58,394.761,,2800.02
M001171_A280002-101-xxx_NA_2794.78_TRUE_VAR5_ALK_Adenosine. 5-methylthio- (3TMS),Adenosine. 5-methylthio-,5'-Methylthioadenosine,HMDB0001173,439176,17509,C00170,3425,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,2457-80-9,InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5.7-8.11.17-18H.2H2.1H3.(H2.12.13.14)/t5?.7-.8-.11-/m1/s1,C20H39N5O3SSi3,513.879,,2794.78
M000000_A280003-101-xxx_NA_2809.31_TRUE_VAR5_ALK_D280808,D280808,,,,,,,,,,,,,2809.31
M000000_A280004-101-xxx_NA_2801.89_TRUE_VAR5_ALK_D286510,D286510,,,,,,,,,,,,,2801.89
M000000_A281001-101-xxx_NA_2798.55_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2798.55
M000000_A281002-101-xxx_NA_2802.57_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2802.57
M000318_A281003-101-xxx_NA_2816.43_TRUE_VAR5_ALK_Aspartic acid. N-(3-indolylacetyl)- (3TMS),Aspartic acid. N-(3-indolylacetyl)-,,,,,,,,2456-73-7,InChI=1S/C14H14N2O5/c17-12(16-11(14(20)21)6-13(18)19)5-8-7-15-10-4-2-1-3-9(8)10/h1-4.7.11.15H.5-6H2.(H.16.17)(H.18.19)(H.20.21)/t11-/m1/s1,C23H38N2O5Si3,506.815,,2816.43
M001106_A281006-101-xxx_NA_2815.76_TRUE_VAR5_ALK_Tetracosenoic acid. 15-(Z)- (1TMS),Tetracosenoic acid. 15-(Z)-,Nervonic acid,HMDB0002368,5281120,44247,C08323,262,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O,506-37-6,InChI=1S/C24H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h9-10H.2-8.11-23H2.1H3.(H.25.26)/b10-9-,C27H54O2Si,438.803,,2815.76
M000000_A282003-101-xxx_NA_2805.04_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2805.04
M000000_A282004-101-xxx_NA_2811.25_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2811.25
M000319_A282006-101-xxx_NA_2796.95_TRUE_VAR5_ALK_Indol-3-yl-glucoside. beta- (5TMS),Indol-3-yl-glucoside. beta-,NA,,,,,,,487-60-5,InChI=1S/C14H17NO6/c16-6-10-11(17)12(18)13(19)14(21-10)20-9-5-15-8-4-2-1-3-7(8)9/h1-5.10-19H.6H2,C29H57NO6Si5,656.194,,2796.95
M000000_A282009-101-xxx_NA_2818.71_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2818.71
M000877_A282010-101-xxx_NA_2829.39_TRUE_VAR5_ALK_Protopine (1TMS),Protopine,Protopine,HMDB0003920,4970,16415,C05189,6988,CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C5=C(C=C4)OCO5)OCO3,,InChI=1S/C20H19NO5/c1-21-5-4-13-7-18-19(25-10-24-18)8-14(13)16(22)6-12-2-3-17-20(15(12)9-21)26-11-23-17/h2-3.7-8H.4-6.9-11H2.1H3,C23H26NO5Si,424.543,,2829.39
M000000_A282014-101-xxx_NA_2816.53_PRED_VAR5_ALK_Thymidine-5'-monophosphoric-acid_3TMS,Thymidine-5'-monophosphoric-acid,,,,,,,,,,,,,2816.53
M000663_A283001-101-xxx_NA_2824.66_TRUE_VAR5_ALK_Squalene. all-trans-,Squalene. all-trans-,Squalene,HMDB0000256,11975273,15440,C00751,197,CC(=CCC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(/C)\CCC=C(C)C)/C)/C)C,111-02-4,InChI=1S/C30H50/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h15-18.23-24H.9-14.19-22H2.1-8H3/b27-17+.28-18+.29-23+.30-24+,C30H50,410.719,,2824.66
M000000_A283002-101-xxx_NA_2815.11_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2815.11
M000000_A283003-101-xxx_NA_2818.72_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2818.72
M000000_A283005-101-xxx_NA_2823.28_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2823.28
M000707_A283009-101-xxx_NA_2837.15_TRUE_VAR5_ALK_Pentacosanoic acid methyl ester,Pentacosanoic acid methyl ester,,,,,,,,55373-89-2,InChI=1S/C26H52O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26(27)28-2/h3-25H2.1-2H3,C26H52O2,396.691,,2837.15
M000789_A283010-101-xxx_NA_2750.06_TRUE_VAR5_ALK_Cellobiitol (9TMS),Cellobiitol,1-beta-D-Glucopyranosyl-4-D-glucopyranose,MA3TEM061,3485,,C00185,,C(CC=O)CC=O,535-94-4,InChI=1S/C12H24O11/c13-1-4(16)7(18)11(5(17)2-14)23-12-10(21)9(20)8(19)6(3-15)22-12/h4-21H.1-3H2/t4-.5+.6+.7+.8+.9-.10+.11+.12-/m1/s1,C39H96O11Si9,993.943,,2750.06
M000296_A283011-101-xxx_NA_2788.87_TRUE_VAR5_ALK_Gentiobiose (1MEOX) (8TMS) MP,Gentiobiose,Isomaltose,HMDB0002923,439193,28189,C00252,412,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,554-91-6,InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H.1-2H2/t3-.4-.5-.6-.7+.8+.9-.10-.11?.12-/m1/s1,C37H89NO11Si8,948.787,,2788.87
M001107_A283012-101-xxx_NA_2835.6_TRUE_VAR5_ALK_Prostaglandin E1. 6-oxo- (1MEOX) (4TMS) MP,Prostaglandin E1. 6-oxo-,6-Ketoprostaglandin E1,HMDB0004241,5280889,28269,C05962,7036,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CC(=O)CCCCC(=O)O)O)O,,InChI=1S/C20H32O6/c1-2-3-4-7-14(21)10-11-16-17(19(24)13-18(16)23)12-15(22)8-5-6-9-20(25)26/h10-11.14.16-18.21.23H.2-9.12-13H2.1H3.(H.25.26)/b11-10+/t14-.16+.17+.18+/m0/s1,,,,2835.6
M001181_A283013-101-xxx_NA_2830.44_TRUE_VAR5_ALK_Prostaglandin F1A. 6-oxo- (1MEOX) (4TMS) MP,Prostaglandin F1A. 6-oxo-,6-Keto-prostaglandin F1a,HMDB0002886,5280888,28158,C05961,6782,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1CC(=O)CCCCC(=O)O)O)O)O,,InChI=1S/C20H34O6/c1-2-3-4-7-14(21)10-11-16-17(19(24)13-18(16)23)12-15(22)8-5-6-9-20(25)26/h10-11.14.16-19.21.23-24H.2-9.12-13H2.1H3.(H.25.26)/b11-10+/t14-.16+.17+.18+.19-/m0/s1,C38H62NO6Si4,741.245,,2830.44
M001108_A283014-101-xxx_NA_2837.31_TRUE_VAR5_ALK_Estrone. 16alpha-hydroxy- (1MEOX) (2TMS) MP,Estrone. 16alpha-hydroxy-,16b-Hydroxyestrone,HMDB0000313,22833517,,C05300,5302,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H](C2=O)O)CCC4=C3C=CC(=C4)O,566-76-7,InChI=1S/C18H22O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3.5.8.13-16.19-20H.2.4.6-7.9H2.1H3/t13-.14-.15+.16-.18+/m1/s1,C25H41NO3Si2,459.77,,2837.31
M001109_A283015-101-xxx_NA_2835.82_TRUE_VAR5_ALK_Androst-4-en-3.17-dione. 19-hydroxy- (1MEOX) (1TMS) MP,Androst-4-en-3.17-dione. 19-hydroxy-,"19-Hydroxyandrost-4-ene-3,17-dione",HMDB0003955,252379,27576,C05290,6990,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO,,InChI=1S/C19H26O3/c1-18-8-7-16-14(15(18)4-5-17(18)22)3-2-12-10-13(21)6-9-19(12.16)11-20/h10.14-16.20H.2-9.11H2.1H3/t14-.15-.16-.18-.19+/m0/s1,C23H37NO3Si,403.631,,2835.82
M000000_A283016-101-xxx_NA_2833.14_TRUE_VAR5_ALK_D283309,D283309,,,,,,,,,,,,,2833.14
M000058_A284001-101-xxx_NA_2811.28_TRUE_VAR5_ALK_Maltitol (9TMS),Maltitol,1-beta-D-Glucopyranosyl-4-D-glucopyranose,MA3TEM061,3485,203534,C00185,3484,C(CC=O)CC=O,585-88-6,InChI=1S/C12H24O11/c13-1-4(16)7(18)11(5(17)2-14)23-12-10(21)9(20)8(19)6(3-15)22-12/h4-21H.1-3H2/t4-.5?.6+.7+.8+.9-.10+.11+.12+/m0/s1,C39H96O11Si9,993.943,,2811.28
M000792_A284002-101-xxx_NA_2888.67_TRUE_VAR5_ALK_Naringenin (3TMS),Naringenin,Naringenin,HMDB0002670,439246,17846,C00509,3401,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,480-41-1,InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6.13.16-18H.7H2,C24H36O5Si3,488.797,,2888.67
M000792_A284003-101-xxx_NA_2970.86_TRUE_VAR5_ALK_Naringenin (1MEOX) (3TMS),Naringenin,Naringenin,HMDB0002670,439246,17846,C00509,3401,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,480-41-1,InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6.13.16-18H.7H2,C25H39NO5Si3,517.838,,2970.86
M000000_A284004-101-xxx_NA_2829.23_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2829.23
M000499_A284005-101-xxx_NA_2834.42_TRUE_VAR5_ALK_Tetracosanoic acid (1TMS),Tetracosanoic acid,Tetracosanoic acid,HMDB0002003,11197,28866,C08320,6427,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,557-59-5,InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2.1H3.(H.25.26),C27H56O2Si,440.819,,2834.42
M000000_A284006-101-xxx_NA_2827.36_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2827.36
M000000_A284008-101-xxx_NA_2837_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2837
M000000_A284009-101-xxx_NA_2838.29_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2838.29
M000831_A284011-101-xxx_NA_2753.46_TRUE_VAR5_ALK_Epicatechin [-O] (4TMS),Epicatechin,Catechin,HMDB0002780,9064,15600,C06562,3419,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,7295-85-4,InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5.13.15-20H.6H2,C27H46O5Si4,562.994,,2753.46
M000126_A284013-101-xxx_NA_2841.21_TRUE_VAR5_ALK_Adenosine. alpha- (4TMS) BP,Adenosine. alpha-,Adenosine,HMDB0000050,60961,16335,C00212,86,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,,InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4.6-7.10.16-18H.1H2.(H2.11.12.13)/t4-.6-.7-.10+/m1/s1,C22H45N5O4Si4,555.967,,2841.21
M001110_A284014-101-xxx_NA_2848.3_TRUE_VAR5_ALK_Estradiol. 2-methoxy- (2TMS),Estradiol. 2-methoxy-,2-Methoxyestradiol,HMDB0000405,66414,28955,C05302,5394,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,,InChI=1S/C19H26O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10.12-13.15.18.20-21H.3-8H2.1-2H3/t12-.13+.15-.18-.19-/m0/s1,C25H42O3Si2,446.771,,2848.3
M001108_A284015-101-xxx_NA_2843.72_TRUE_VAR5_ALK_Estrone. 16alpha-hydroxy- (1MEOX) (2TMS) BP,Estrone. 16alpha-hydroxy-,16b-Hydroxyestrone,HMDB0000313,22833517,,C05300,5302,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H](C2=O)O)CCC4=C3C=CC(=C4)O,566-76-7,InChI=1S/C18H22O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3.5.8.13-16.19-20H.2.4.6-7.9H2.1H3/t13-.14-.15+.16-.18+/m1/s1,C25H41NO3Si2,459.77,,2843.72
M000000_A285001-101-xxx_NA_2841.09_PRED_VAR5_ALK_NA285001 (classified unknown),NA285001 (classified unknown),,,,,,,,,,,,,2841.09
M000788_A285002-101-xxx_NA_2817.18_TRUE_VAR5_ALK_Palatinose (1MEOX) (8TMS),Palatinose,NA,,,,,,,13718-94-0,InChI=1S/C12H22O11/c13-1-4-6(15)8(17)9(18)11(22-4)21-2-5-7(16)10(19)12(20.3-14)23-5/h4-11.13-20H.1-3H2/t4?.5-.6-.7+.8-.9?.10?.11+.12-/m1/s1,C37H89NO11Si8,948.787,,2817.18
M000296_A285003-101-xxx_NA_2814.35_TRUE_VAR5_ALK_Gentiobiose (1MEOX) (8TMS) BP,Gentiobiose,Isomaltose,HMDB0002923,439193,28189,C00252,412,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,554-91-6,InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H.1-2H2/t3-.4-.5-.6-.7+.8+.9-.10-.11?.12-/m1/s1,C37H89NO11Si8,948.787,,2814.35
M000000_A285005-101-xxx_NA_2859.73_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2859.73
M001111_A285009-101-xxx_NA_2858.53_TRUE_VAR5_ALK_Secologanin (TMS) BP2,Secologanin  2,Secologanin,METPA0226,,,C01852,,,19351-63-4,InChI=1S/C17H24O10/c1-3-8-9(4-5-18)10(15(23)24-2)7-25-16(8)27-17-14(22)13(21)12(20)11(6-19)26-17/h3.5.7-9.11-14.16-17.19-22H.1.4.6H2.2H3/t8-.9+.11-.12-.13+.14-.16+.17+/m1/s1,C20H31O10Si,459.54,,2858.53
M001109_A285010-101-xxx_NA_2853.17_TRUE_VAR5_ALK_Androst-4-en-3.17-dione. 19-hydroxy- (1MEOX) (1TMS) BP,Androst-4-en-3.17-dione. 19-hydroxy-,"19-Hydroxyandrost-4-ene-3,17-dione",HMDB0003955,252379,27576,C05290,6990,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO,,InChI=1S/C19H26O3/c1-18-8-7-16-14(15(18)4-5-17(18)22)3-2-12-10-13(21)6-9-19(12.16)11-20/h10.14-16.20H.2-9.11H2.1H3/t14-.15-.16-.18-.19+/m0/s1,C23H37NO3Si,403.631,,2853.17
M000000_A285012-101-xxx_NA_2851.69_TRUE_VAR5_ALK_D285215,D285215,,,,,,,,,,,,,2851.69
M000000_A286001-101-xxx_NA_2847.59_PRED_VAR5_ALK_NA286001 (classified unknown),NA286001 (classified unknown),,,,,,,,,,,,,2847.59
M000000_A286002-101-xxx_NA_2846.18_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2846.18
M000000_A286003-101-xxx_NA_2851.93_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2851.93
M000254_A286004-101-xxx_NA_2855.19_PRED_VAR5_ALK_NA286004 (classified unknown),NA286004 (classified unknown),,,,,,,,481-21-0,InChI=1S/C27H48/c1-19(2)9-8-10-20(3)23-14-15-24-22-13-12-21-11-6-7-17-26(21.4)25(22)16-18-27(23.24)5/h19-25H.6-18H2.1-5H3/t20-.21-.22+.23-.24+.25+.26+.27-/m1/s1,C27H48,372.671,,2855.19
M000000_A286005-101-xxx_NA_2856.98_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2856.98
M001112_A286009-101-xxx_NA_2861.19_TRUE_VAR5_ALK_Estrone. 2-methoxy- (1MEOX) (1TMS) MP,Estrone. 2-methoxy-,2-Methoxyestrone,HMDB0000010,440624,1189,C05299,2578,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=C(C=C34)OC)O,,InChI=1S/C19H24O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10.12-13.15.20H.3-8H2.1-2H3/t12-.13+.15-.19-/m0/s1,C23H35NO3Si,401.615,,2861.19
M001113_A286010-101-xxx_NA_2869.67_TRUE_VAR5_ALK_Pregn-5-ene-3beta-ol-20-one (1MEOX) (1TMS) MP,Pregn-5-ene-3beta-ol-20-one,Pregnenolone,HMDB0000253,53477678,16581,C01953,5257,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2CC=C4[C@@]3(CC[C@H](C4)O)C)C,145-13-1,InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14.2)19(16)9-11-21(17.18)3/h4.15-19.23H.5-12H2.1-3H3/t15-.16-.17+.18-.19-.20-.21+/m0/s1,C25H43NO2Si,417.701,,2869.67
M000831_A286011-101-xxx_NA_2863.55_TRUE_VAR5_ALK_Epicatechin (5TMS),Epicatechin,Catechin,HMDB0002780,9064,15600,C06562,3419,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,7295-85-4,InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5.13.15-20H.6H2,C30H54O6Si5,651.174,,2863.55
M001082_A286012-101-xxx_NA_2867.1_TRUE_VAR5_ALK_Piceatannol (4TMS) MP,Piceatannol,"3,3',4'5-Tetrahydroxystilbene",HMDB0004215,667639,28814,C05901,,C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O)O)O)O,10083-24-6,InChI=1S/C14H12O4/c15-11-5-10(6-12(16)8-11)2-1-9-3-4-13(17)14(18)7-9/h1-8.15-18H/b2-1+,C26H44O4Si4,532.968,,2867.1
M000000_A286014-101-xxx_NA_2859.97_TRUE_VAR5_ALK_D283884,D283884,,,,,,,,,,,,,2859.97
M000107_A287001-101-xxx_NA_2846.96_TRUE_VAR5_ALK_Isomaltose (1MEOX) (8TMS) MP,Isomaltose,Isomaltose,HMDB0002923,439193,28189,C00252,412,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,499-40-1,InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H.1-2H2/t3-.4-.5-.6-.7+.8+.9-.10-.11-.12+/m1/s1,C37H89NO11Si8,948.787,,2846.96
M000793_A287002-101-xxx_NA_2933.42_PRED_VAR5_ALK_Daidzein (2TMS),Daidzein,Daidzein,HMDB0003312,5281708,28197,C10208,,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,486-66-8,InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8.16-17H,C21H26O4Si2,398.6,,2933.42
M000171_A287003-101-xxx_NA_2837.47_TRUE_VAR5_ALK_Melibiose (1MEOX) (8TMS) MP,Melibiose,Melibiose,HMDB0000048,440658,28053,C05402,3478,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,585-99-9,InChI=1S/C12H22O11.H2O/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4;/h3-20H.1-2H2;1H2/t3-.4-.5+.6-.7+.8+.9-.10-.11?.12?;/m1./s1,C37H89NO11Si8,948.787,,2837.47
M000000_A287005-101-xxx_NA_2863.25_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2863.25
M000000_A287007-101-xxx_NA_2866.73_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2866.73
M000790_A287008-101-xxx_NA_2883.12_TRUE_VAR5_ALK_alpha-D-Glucopyranosyl-(1.6)-D-glucitol (9TMS),alpha-D-Glucopyranosyl-(1.6)-D-glucitol,Isomaltose,HMDB0002923,439193,28189,C00252,412,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,64519-82-0,InChI=1S/C12H24O11/c13-1-4(15)7(17)8(18)5(16)3-22-12-11(21)10(20)9(19)6(2-14)23-12/h4-21H.1-3H2/t4?.5-.6-.7-.8-.9-.10+.11-.12+/m1/s1,C39H96O11Si9,993.943,,2883.12
