"GMDandPRIMe_names","MetNames"
"M001111_A290015-101-xxx_NA_2909.53_TRUE_VAR5_ALK_Secologanin (TMS) MP","Secologanin"
"M000860_A290016-101-xxx_NA_2907.78_TRUE_VAR5_ALK_Estriol (3TMS)","Estriol"
"M000000_A290017-101-xxx_NA_2895.47_PRED_VAR5_ALK_Melibiose_8TMS","Melibiose"
"M000623_A291001-101-xxx_NA_2914.54_PRED_VAR5_ALK_Tocopherol. delta- (1TMS)","Tocopherol. delta-"
"M000107_A291002-101-xxx_NA_2881.28_TRUE_VAR5_ALK_Isomaltose (1MEOX) (8TMS) BP","Isomaltose"
"M000000_A291003-101-xxx_NA_2902.44_PRED_VAR5_ALK_NA","NA"
"M000000_A291005-101-xxx_NA_2902.83_PRED_VAR5_ALK_NA","NA"
"M000870_A291007-101-xxx_NA_2911.28_PRED_VAR5_ALK_Siloxane","Siloxane"
"M001121_A291008-101-xxx_NA_2917.31_TRUE_VAR5_ALK_Loganin (5TMS)","Loganin"
"M001122_A291009-101-xxx_NA_2912.15_TRUE_VAR5_ALK_Isoflavone. 5.7-dihydroxy-4'-methoxy- (2TMS)","Isoflavone. 5.7-dihydroxy-4'-methoxy-"
"M000833_A291010-101-xxx_NA_2914.99_TRUE_VAR5_ALK_Epigallocatechin (6TMS)","Epigallocatechin"
"M000000_A291011-101-xxx_NA_2913.48_TRUE_VAR5_ALK_D291398","D291398"
"M000000_A292001-101-xxx_NA_2912.67_PRED_VAR5_ALK_NA292001 (classified unknown)","NA292001 (classified unknown)"
"M000000_A292003-101-xxx_NA_2913.77_PRED_VAR5_ALK_NA","NA"
"M000000_A292004-101-xxx_NA_2915.56_PRED_VAR5_ALK_NA","NA"
"M000000_A292005-101-xxx_NA_2919.04_PRED_VAR5_ALK_NA","NA"
"M000000_A292006-101-xxx_NA_2919.64_PRED_VAR5_ALK_NA","NA"
"M001123_A292008-101-xxx_NA_2922.82_TRUE_VAR5_ALK_Morin (5TMS)","Morin"
"M001114_A292009-101-xxx_NA_2923.46_TRUE_VAR5_ALK_Pregnenolone. 17alpha-hydroxy- (1MEOX) (2TMS) MP","Pregnenolone. 17alpha-hydroxy-"
"M000000_A292010-101-xxx_NA_2926.93_TRUE_VAR5_ALK_D292711","D292711"
"M000000_A292011-101-xxx_NA_2912.96_PRED_VAR5_ALK_Deoxyuridine_2TMS","Deoxyuridine"
"M000000_A293001-101-xxx_NA_2911.69_PRED_VAR5_ALK_NA","NA"
"M000000_A293004-101-xxx_NA_2926.9_PRED_VAR5_ALK_NA","NA"
"M000000_A293006-101-xxx_NA_2935.55_TRUE_VAR5_ALK_D293621","D293621"
"M000000_A294001-101-xxx_NA_2924.09_PRED_VAR5_ALK_NA294001 (classified unknown)","NA294001 (classified unknown)"
"M000000_A294002-101-xxx_NA_2925.73_PRED_VAR5_ALK_NA","NA"
"M000000_A294003-101-xxx_NA_2925.19_PRED_VAR5_ALK_NA","NA"
"M000501_A294004-101-xxx_NA_2937.21_TRUE_VAR5_ALK_Pentacosanoic acid (1TMS)","Pentacosanoic acid"
"M000000_A294006-101-xxx_NA_2939.93_PRED_VAR5_ALK_NA","NA"
"M000708_A294008-101-xxx_NA_2941.17_TRUE_VAR5_ALK_Hexacosanoic acid methyl ester (FAME MIX)","Hexacosanoic acid methyl ester"
"M001187_A294009-101-xxx_NA_2945.26_TRUE_VAR5_ALK_Pregnane-3.20-dione. 5alpha-allo- (2MEOX) MP","Pregnane-3.20-dione. 5alpha-allo-"
"M000000_A295001-101-xxx_NA_2938.51_PRED_VAR5_ALK_NA","NA"
"M000000_A295002-101-xxx_NA_2934.73_PRED_VAR5_ALK_NA","NA"
"M000000_A295003-101-xxx_NA_2935.42_PRED_VAR5_ALK_NA","NA"
"M000000_A295006-101-xxx_NA_2918.3_PRED_VAR5_ALK_NA","NA"
"M000000_A295007-101-xxx_NA_2933.34_PRED_VAR5_ALK_NA","NA"
"M000000_A295008-101-xxx_NA_2934.06_PRED_VAR5_ALK_NA","NA"
"M000870_A295011-101-xxx_NA_2959.7_PRED_VAR5_ALK_Siloxane","Siloxane"
"M000000_A295012-101-xxx_NA_2940.93_PRED_VAR5_ALK_NA","NA"
"M000000_A295013-101-xxx_NA_2942.39_PRED_VAR5_ALK_NA","NA"
"M000873_A295014-101-xxx_NA_2956.76_TRUE_VAR5_ALK_Eriodictyol (5TMS)","Eriodictyol"
"M001187_A295015-101-xxx_NA_2959.95_TRUE_VAR5_ALK_Pregnane-3.20-dione. 5alpha-allo- (2MEOX) BP","Pregnane-3.20-dione. 5alpha-allo-"
"M000000_A295017-101-xxx_NA_2953.14_TRUE_VAR5_ALK_D295341","D295341"
"M000000_A296001-101-xxx_NA_2943.68_PRED_VAR5_ALK_NA","NA"
"M000000_A296003-101-xxx_NA_2951.33_PRED_VAR5_ALK_NA296003 (classified unknown)","NA296003 (classified unknown)"
"M000000_A296004-101-xxx_NA_2950.97_TRUE_VAR5_ALK_NA","NA"
"M000796_A296005-101-xxx_NA_2953.53_TRUE_VAR5_ALK_Taxifolin (5TMS)","Taxifolin"
"M000000_A296006-101-xxx_NA_2955.36_PRED_VAR5_ALK_NA","NA"
"M001126_A296007-101-xxx_NA_2963.67_TRUE_VAR5_ALK_Androst-4-en-3.17-dione. 11beta-hydroxy- (2MEOX) (1TMS) MP","Androst-4-en-3.17-dione. 11beta-hydroxy-"
"M000000_A297001-101-xxx_NA_2961.53_PRED_VAR5_ALK_NA","NA"
"M001126_A297003-101-xxx_NA_2970.73_TRUE_VAR5_ALK_Androst-4-en-3.17-dione. 11beta-hydroxy- (2MEOX) (1TMS) BP","Androst-4-en-3.17-dione. 11beta-hydroxy-"
"M001128_A297004-101-xxx_NA_3052.02_TRUE_VAR5_ALK_Pregn-5-ene-3.17.21-triol-20-one (1MEOX) (3TMS)","Pregn-5-ene-3.17.21-triol-20-one"
"M000000_A297005-101-xxx_NA_2977.31_TRUE_VAR5_ALK_D304560","D304560"
"M000000_A297006-101-xxx_NA_2966.17_PRED_VAR5_ALK_Adenosine-3'-monophosphoric-acid_5TMS","Adenosine-3'-monophosphoric-acid"
"M000000_A298001-101-xxx_NA_2974.72_PRED_VAR5_ALK_NA298001 (classified unknown)","NA298001 (classified unknown)"
"M001129_A298003-101-xxx_NA_2984.72_TRUE_VAR5_ALK_Inosine-5'-monophosphate (5TMS)","Inosine-5'-monophosphate"
"M001130_A298004-101-xxx_NA_2985.08_TRUE_VAR5_ALK_Ampelopsin (6TMS)","Ampelopsin"
"M001132_A298005-101-xxx_NA_2989.81_TRUE_VAR5_ALK_Progesterone (2MEOX) MP","Progesterone"
"M000000_A298006-101-xxx_NA_2983.89_TRUE_VAR5_ALK_D305010","D305010"
"M000000_A298007-101-xxx_NA_2988.76_TRUE_VAR5_ALK_D305730","D305730"
"M000003_A299001-101-xxx_NA_2977.33_TRUE_VAR5_ALK_Quinic acid. 3-caffeoyl-. cis- (6TMS)","Quinic acid. 3-caffeoyl-. cis-"
"M000673_A299002-101-xxx_NA_2966.29_TRUE_VAR5_ALK_Galactinol (9TMS)","Galactinol"
"M000624_A299003-101-xxx_NA_3005.88_PRED_VAR5_ALK_Tocopherol. beta- (1TMS)","Tocopherol. beta-"
"M000000_A299004-101-xxx_NA_2976.41_PRED_VAR5_ALK_NA","NA"
"M000000_A299005-101-xxx_NA_2980.67_PRED_VAR5_ALK_NA","NA"
"M000230_A299008-101-xxx_NA_2933.6_TRUE_VAR5_ALK_Spermine [+CO2] (6TMS)","Spermine"
"M001132_A299009-101-xxx_NA_2995.39_TRUE_VAR5_ALK_Progesterone (2MEOX) BP","Progesterone"
"M000000_A300001-101-xxx_NA_2987.5_PRED_VAR5_ALK_NA","NA"
"M000625_A300002-101-xxx_NA_2996.47_TRUE_VAR5_ALK_Tocopherol. gamma- (1TMS)","Tocopherol. gamma-"
"M000000_A300003-101-xxx_NA_2989.36_PRED_VAR5_ALK_NA","NA"
"M000565_A300004-101-xxx_NA_2994.99_PRED_VAR5_ALK_Triacontane. n-","Triacontane. n-"
"M000000_A300005-101-xxx_NA_2985.03_PRED_VAR5_ALK_NA","NA"
"M000000_A300006-101-xxx_NA_2991.4_PRED_VAR5_ALK_NA","NA"
"M001134_A300007-101-xxx_NA_3009.11_TRUE_VAR5_ALK_Pregn-4-ene-20alpha-ol-3-one (1MEOX) (1TMS) BP","Pregn-4-ene-20alpha-ol-3-one"
"M001134_A300008-101-xxx_NA_3003.3_TRUE_VAR5_ALK_Pregn-4-ene-20alpha-ol-3-one (1MEOX) (1TMS) MP","Pregn-4-ene-20alpha-ol-3-one"
"M000000_A300010-101-xxx_NA_3002.71_TRUE_VAR5_ALK_D300270","D300270"
"M000004_A301001-101-xxx_NA_2991.58_TRUE_VAR5_ALK_Quinic acid. 4-caffeoyl-. cis- (6TMS)","Quinic acid. 4-caffeoyl-. cis-"
"M000005_A301002-101-xxx_NA_2988.16_TRUE_VAR5_ALK_Quinic acid. 5-caffeoyl-. cis- (6TMS)","Quinic acid. 5-caffeoyl-. cis-"
"M000000_A301003-101-xxx_NA_2996.53_PRED_VAR5_ALK_NA","NA"
"M000000_A301004-101-xxx_NA_2996.18_PRED_VAR5_ALK_NA","NA"
"M000000_A301005-101-xxx_NA_3003.95_PRED_VAR5_ALK_NA","NA"
"M001136_A301006-101-xxx_NA_3018.88_TRUE_VAR5_ALK_N.N'-Diacetylchitobiose (1MEOX) (6TMS) MP","N.N'-Diacetylchitobiose"
"M000000_A302001-101-xxx_NA_3010.98_PRED_VAR5_ALK_NA","NA"
"M000000_A302002-101-xxx_NA_3011.38_PRED_VAR5_ALK_NA","NA"
"M000000_A302003-101-xxx_NA_3015.91_PRED_VAR5_ALK_NA","NA"
"M000000_A302004-101-xxx_NA_3021.96_TRUE_VAR5_ALK_D302190","D302190"
"M000000_A302005-101-xxx_NA_3012.98_PRED_VAR5_ALK_3'.5'-Cyclic-AMP_2TMS","3'.5'-Cyclic-A"
"M000000_A303001-101-xxx_NA_3017.31_PRED_VAR5_ALK_NA","NA"
"M001138_A303002-101-xxx_NA_3032.17_TRUE_VAR5_ALK_Progesterone. 17alpha-hydroxy- (2MEOX) (1TMS) MP","Progesterone. 17alpha-hydroxy-"
"M000000_A303004-101-xxx_NA_3039.16_TRUE_VAR5_ALK_D310830","D310830"
"M000000_A304001-101-xxx_NA_3022.95_PRED_VAR5_ALK_NA","NA"
"M000000_A304002-101-xxx_NA_3030.46_PRED_VAR5_ALK_NA","NA"
"M000502_A304003-101-xxx_NA_3036.31_TRUE_VAR5_ALK_Hexacosanoic acid (1TMS)","Hexacosanoic acid"
"M000000_A304004-101-xxx_NA_3034.15_PRED_VAR5_ALK_NA","NA"
"M000725_A304005-101-xxx_NA_3028.36_PRED_VAR5_ALK_Heptacosanoic acid methyl ester. n-","Heptacosanoic acid methyl ester. n-"
"M000873_A304006-101-xxx_NA_3040.16_TRUE_VAR5_ALK_Eriodictyol (1MEOX) (4TMS)","Eriodictyol"
"M001140_A304007-101-xxx_NA_3041.53_TRUE_VAR5_ALK_Pregnane-3alpha.21-diol-11.20-dione. 5beta- (1MEOX) (2TMS) MP","Pregnane-3alpha.21-diol-11.20-dione. 5beta-"
"M001141_A304008-101-xxx_NA_3042.78_TRUE_VAR5_ALK_Pregn-5-ene-3.21-diol-20-one (1MEOX) (2TMS)","Pregn-5-ene-3.21-diol-20-one"
"M000000_A305001-101-xxx_NA_3035.95_PRED_VAR5_ALK_NA","NA"
"M000000_A305002-101-xxx_NA_3039.64_PRED_VAR5_ALK_NA","NA"
"M001188_A305003-101-xxx_NA_3055.54_TRUE_VAR5_ALK_Acacetin (1TMS)","Acacetin"
"M000000_A305006-101-xxx_NA_3056.24_TRUE_VAR5_ALK_D305620","D305620"
"M000000_A306001-101-xxx_NA_3044.31_TRUE_VAR5_ALK_NA","NA"
"M000525_A306002-101-xxx_NA_3077.52_PRED_VAR5_ALK_Luteolin (4TMS)","Luteolin"
"M000000_A306003-101-xxx_NA_3050.41_PRED_VAR5_ALK_NA","NA"
"M001143_A306004-101-xxx_NA_3066.1_TRUE_VAR5_ALK_Ergocalciferol (1TMS)","Ergocalciferol"
"M000000_A307001-101-xxx_NA_3058.11_PRED_VAR5_ALK_NA","NA"
"M000000_A307002-101-xxx_NA_3055.61_PRED_VAR5_ALK_NA","NA"
"M000284_A307003-101-xxx_NA_3065.98_TRUE_VAR5_ALK_Adenosine-5-monophosphate (5TMS)","Adenosine-5-monophosphate"
"M000000_A307004-101-xxx_NA_3067.07_PRED_VAR5_ALK_NA","NA"
"M000000_A307005-101-xxx_NA_3069.36_PRED_VAR5_ALK_NA","NA"
"M000870_A307006-101-xxx_NA_3079.21_PRED_VAR5_ALK_Siloxane","Siloxane"
"M000284_A307007-101-xxx_NA_3051.07_PRED_VAR5_ALK_Adenosine-5-monophosphate (4TMS) (Derivate not found)","Adenosine-5-monophosphate"
"M000000_A307008-101-xxx_NA_3067.36_PRED_VAR5_ALK_RL3_1","RL3_1"
"M000000_A307009-101-xxx_NA_3066.96_PRED_VAR5_ALK_18|0_10|0_Mycolic_acid_1MeO","18|0_10|0_Mycolic_acid"
"M000134_A308001-101-xxx_NA_3111.14_TRUE_VAR5_ALK_Guanosine-5-monophosphate (6TMS)","Guanosine-5-monophosphate"
"M000000_A308002-101-xxx_NA_3074.16_PRED_VAR5_ALK_NA","NA"
"M000000_A308003-101-xxx_NA_3063.01_PRED_VAR5_ALK_NA","NA"
"M000000_A308004-101-xxx_NA_3040.17_PRED_VAR5_ALK_NA","NA"
"M000000_A308005-101-xxx_NA_3079.45_PRED_VAR5_ALK_NA","NA"
"M000000_A309001-101-xxx_NA_3081.62_PRED_VAR5_ALK_NA","NA"
"M000000_A309002-101-xxx_NA_3077.92_PRED_VAR5_ALK_NA","NA"
"M000000_A309004-101-xxx_NA_3076.01_PRED_VAR5_ALK_NA","NA"
"M001188_A309005-101-xxx_NA_3098.38_TRUE_VAR5_ALK_Acacetin (2TMS)","Acacetin"
"M000000_A309006-101-xxx_NA_3090.82_TRUE_VAR5_ALK_D309090","D309090"
"M000000_A310001-101-xxx_NA_3089.33_PRED_VAR5_ALK_NA310001 (classified unknown)","NA310001 (classified unknown)"
"M000566_A310004-101-xxx_NA_3092.83_PRED_VAR5_ALK_Hentriacontane. n-","Hentriacontane. n-"
"M000000_A310005-101-xxx_NA_3068.82_PRED_VAR5_ALK_NA","NA"
"M000000_A310007-101-xxx_NA_3101.38_TRUE_VAR5_ALK_D317120","D317120"
"M000003_A311001-101-xxx_NA_3099.59_TRUE_VAR5_ALK_Quinic acid. 3-caffeoyl-. trans- (6TMS)","Quinic acid. 3-caffeoyl-. trans-"
"M000000_A311002-101-xxx_NA_3098.96_PRED_VAR5_ALK_NA","NA"
"M000000_A311003-101-xxx_NA_3092.84_PRED_VAR5_ALK_NA","NA"
"M000000_A311004-101-xxx_NA_3093.84_PRED_VAR5_ALK_NA","NA"
"M000289_A311006-101-xxx_NA_3111.64_TRUE_VAR5_ALK_Adenosine-3'.5'-cyclic-monophosphate (3TMS)","Adenosine-3'.5'-cyclic-monophosphate"
"M001140_A311007-101-xxx_NA_3119.91_TRUE_VAR5_ALK_Pregnane-3alpha.21-diol-11.20-dione. 5beta- (1MEOX) (2TMS) BP","Pregnane-3alpha.21-diol-11.20-dione. 5beta-"
"M000000_A312001-101-xxx_NA_3109.78_PRED_VAR5_ALK_NA","NA"
"M000000_A312002-101-xxx_NA_3110.52_PRED_VAR5_ALK_NA","NA"
"M001144_A312003-101-xxx_NA_3125.39_TRUE_VAR5_ALK_Pregn-4-ene-11beta-17alpha-diol-3-20-dione (2MEOX) (2TMS) MP","Pregn-4-ene-11beta-17alpha-diol-3-20-dione"
"M000000_A312005-101-xxx_NA_3121.4_TRUE_VAR5_ALK_D319140","D319140"
"M000000_A313001-101-xxx_NA_3115.56_TRUE_VAR5_ALK_NA","NA"
"M000000_A313002-101-xxx_NA_3122.32_PRED_VAR5_ALK_NA","NA"
"M000000_A313003-101-xxx_NA_3123.31_PRED_VAR5_ALK_NA","NA"
"M000503_A313004-101-xxx_NA_3120.42_PRED_VAR5_ALK_Heptacosanoic acid. n- (1TMS)","Heptacosanoic acid. n-"
"M000000_A313005-101-xxx_NA_3122.51_PRED_VAR5_ALK_NA","NA"
"M000000_A313006-101-xxx_NA_3121.01_PRED_VAR5_ALK_NA","NA"
"M000000_A313007-101-xxx_NA_3125.01_PRED_VAR5_ALK_NA","NA"
"M000000_A313008-101-xxx_NA_3122.31_PRED_VAR5_ALK_NA","NA"
"M000000_A313009-101-xxx_NA_3115.01_PRED_VAR5_ALK_NA","NA"
"M000000_A314001-101-xxx_NA_3126.44_PRED_VAR5_ALK_NA","NA"
"M000000_A314002-101-xxx_NA_3132.67_PRED_VAR5_ALK_NA","NA"
"M000000_A314003-101-xxx_NA_3130.41_PRED_VAR5_ALK_NA","NA"
"M000726_A314004-101-xxx_NA_3140.52_TRUE_VAR5_ALK_Octacosanoic acid methyl ester (FAME MIX)","Octacosanoic acid methyl ester"
"M000000_A315001-101-xxx_NA_3140.21_PRED_VAR5_ALK_NA","NA"
"M000000_A315002-101-xxx_NA_3141.61_PRED_VAR5_ALK_NA","NA"
"M000000_A315003-101-xxx_NA_3136.32_PRED_VAR5_ALK_NA","NA"
"M000000_A315004-101-xxx_NA_3140.21_PRED_VAR5_ALK_NA","NA"
"M001145_A315005-101-xxx_NA_3152.91_TRUE_VAR5_ALK_Dihydrozeatin riboside (4TMS)","Dihydrozeatin riboside"
"M001146_A315006-101-xxx_NA_3155.43_TRUE_VAR5_ALK_Progesterone. 11beta-hydroxy- (2MEOX) (1TMS) MP","Progesterone. 11beta-hydroxy-"
"M001147_A315007-101-xxx_NA_3151.05_TRUE_VAR5_ALK_Corticosterone. 11-deoxy- (2MEOX) (1TMS) MP","Corticosterone. 11-deoxy-"
"M001148_A315008-101-xxx_NA_3156.54_TRUE_VAR5_ALK_Cortisol. 11-deoxy- (2MEOX) (2TMS) MP","Cortisol. 11-deoxy-"
"M000000_A315009-101-xxx_NA_3158.65_TRUE_VAR5_ALK_D323290","D323290"
"M000000_A315010-101-xxx_NA_3139.3_PRED_VAR5_ALK_3'.5'-Cyclic-AMP_4TMS","3'.5'-Cyclic-A"
"M000626_A316001-101-xxx_NA_3160.75_PRED_VAR5_ALK_Tocopherol. alpha- (1TMS)","Tocopherol. alpha-"
"M000000_A316002-101-xxx_NA_3148.45_PRED_VAR5_ALK_NA","NA"
"M000000_A316003-101-xxx_NA_3151.06_PRED_VAR5_ALK_NA","NA"
"M000797_A316004-101-xxx_NA_3161.36_PRED_VAR5_ALK_Apigenin (3TMS)","Apigenin"
"M000000_A316006-101-xxx_NA_0_FALSE_VAR5_ALK_NA","NA"
"M000000_A316008-101-xxx_NA_3173.57_PRED_VAR5_ALK_NA","NA"
"M001146_A316009-101-xxx_NA_3161.58_TRUE_VAR5_ALK_Progesterone. 11beta-hydroxy- (2MEOX) (1TMS) BP","Progesterone. 11beta-hydroxy-"
"M001149_A316010-101-xxx_NA_3200_TRUE_VAR5_ALK_Cholestane. 3beta-hydroxy-. 5alpha- (1TMS)","Cholestane. 3beta-hydroxy-. 5alpha-"
"M000004_A317001-101-xxx_NA_3154.54_TRUE_VAR5_ALK_Quinic acid. 4-caffeoyl-. trans- (6TMS)","Quinic acid. 4-caffeoyl-. trans-"
"M000000_A317002-101-xxx_NA_3165.24_PRED_VAR5_ALK_NA","NA"
"M000000_A317003-101-xxx_NA_3154.49_PRED_VAR5_ALK_NA","NA"
"M000000_A317004-101-xxx_NA_3160.84_PRED_VAR5_ALK_NA","NA"
"M000000_A317006-101-xxx_NA_3167.21_PRED_VAR5_ALK_2'-Deoxyguanosine 5'-phosphoric-acid_5TMS","2'-Deoxyguanosine 5'-phosphoric-acid"
"M000773_A318001-101-xxx_NA_3154.63_TRUE_VAR5_ALK_Trehalose-6-phosphate (9TMS)","Trehalose-6-phosphate"
"M000000_A318002-101-xxx_NA_3165.47_PRED_VAR5_ALK_NA","NA"
"M000627_A318003-101-xxx_NA_3200_TRUE_VAR5_ALK_Tocopherolacetate. alpha-","Tocopherolacetate. alpha-"
"M000000_A318004-101-xxx_NA_3171.26_PRED_VAR5_ALK_NA","NA"
"M000524_A318005-101-xxx_NA_3077.8_PRED_VAR5_ALK_Kaempferol [+H2] (5TMS)","Kaempferol"
"M000000_A318006-101-xxx_NA_3176.58_PRED_VAR5_ALK_NA","NA"
"M000870_A318007-101-xxx_NA_3191.74_PRED_VAR5_ALK_Siloxane","Siloxane"
"M000000_A318008-101-xxx_NA_3166.45_PRED_VAR5_ALK_NA","NA"
"M000005_A319001-101-xxx_NA_3177.08_TRUE_VAR5_ALK_Quinic acid. 5-caffeoyl-. trans- (6TMS)","Quinic acid. 5-caffeoyl-. trans-"
"M000182_A319002-101-xxx_NA_3188.14_TRUE_VAR5_ALK_Cholesterol (1TMS)","Cholesterol"
"M000000_A319003-101-xxx_NA_3182.69_PRED_VAR5_ALK_NA","NA"
"M000526_A319004-101-xxx_NA_3169.3_TRUE_VAR5_ALK_Quercetin (5TMS)","Quercetin"
"M001191_A319005-101-xxx_NA_3190.53_TRUE_VAR5_ALK_Guanosine-3'.5'-cyclic-monophosphate (4TMS)","Guanosine-3'.5'-cyclic-monophosphate"
"M001150_A319007-101-xxx_NA_3074.91_TRUE_VAR5_ALK_Progesterone. 11alpha-hydroxy- (2MEOX) (1TMS) MP","Progesterone. 11alpha-hydroxy-"
"M000000_A319008-101-xxx_NA_3195.43_TRUE_VAR5_ALK_D327500","D327500"
"M000567_A320001-101-xxx_NA_3199.99_TRUE_VAR5_ALK_Dotriacontane. n-","Dotriacontane. n-"
"M000197_A320002-101-xxx_NA_3205.36_PRED_VAR5_ALK_Ubidihydroquinone Q4 (2TMS)","Ubidihydroquinone Q4"
"M001151_A320003-101-xxx_NA_3209.62_TRUE_VAR5_ALK_Myricetin (6TMS)","Myricetin"
"M000000_A321001-101-xxx_NA_3204.46_PRED_VAR5_ALK_NA","NA"
"M001192_A321002-101-xxx_NA_3219.58_TRUE_VAR5_ALK_Guanosine-2'.3'-cyclic-monophosphate (4TMS)","Guanosine-2'.3'-cyclic-monophosphate"
"M000000_A322001-101-xxx_NA_3204.72_PRED_VAR5_ALK_NA","NA"
"M000000_A322002-101-xxx_NA_3210.49_PRED_VAR5_ALK_NA","NA"
"M000197_A322005-101-xxx_NA_3223.33_PRED_VAR5_ALK_Ubidihydroquinone Q4 (2TMS)","Ubidihydroquinone Q4"
"M001152_A322007-101-xxx_NA_3332.18_TRUE_VAR5_ALK_Nonacosanoic acid (1TMS)","Nonacosanoic acid"
"M001150_A322008-101-xxx_NA_3094.05_TRUE_VAR5_ALK_Progesterone. 11alpha-hydroxy- (2MEOX) (1TMS) BP","Progesterone. 11alpha-hydroxy-"
"M000000_A323001-101-xxx_NA_3216.35_PRED_VAR5_ALK_NA","NA"
"M000000_A323002-101-xxx_NA_3214.42_PRED_VAR5_ALK_NA","NA"
"M000504_A323003-101-xxx_NA_3232.02_TRUE_VAR5_ALK_Octacosanoic acid (1TMS)","Octacosanoic acid"
"M000000_A323004-101-xxx_NA_3215.41_PRED_VAR5_ALK_NA","NA"
"M000000_A324001-101-xxx_NA_3222_TRUE_VAR5_ALK_NA","NA"
"M000000_A324002-101-xxx_NA_3229.88_PRED_VAR5_ALK_NA","NA"
"M000000_A324003-101-xxx_NA_3228.67_PRED_VAR5_ALK_NA","NA"
"M000000_A324006-101-xxx_NA_3229.49_PRED_VAR5_ALK_Melezitose_1_xTMS","Melezitose_1_xTMS"
"M000000_A324007-101-xxx_NA_3234.73_PRED_VAR5_ALK_RLL-1_4TMS","RLL-1"
"M000000_A325001-101-xxx_NA_3237.41_PRED_VAR5_ALK_NA","NA"
"M000000_A325003-101-xxx_NA_3242.65_PRED_VAR5_ALK_NA","NA"
"M000000_A326002-101-xxx_NA_3251.65_PRED_VAR5_ALK_18|0_12|0_Mycolic_acid_1MeO","18|0_12|0_Mycolic_acid"
"M000799_A327001-101-xxx_NA_3276.35_PRED_VAR5_ALK_Ergosterol (1TMS)","Ergosterol"
"M000000_A327002-101-xxx_NA_3262.39_PRED_VAR5_ALK_NA","NA"
"M000000_A327003-101-xxx_NA_3262.38_PRED_VAR5_ALK_NA","NA"
"M000525_A327004-101-xxx_NA_3321.78_PRED_VAR5_ALK_NA","NA"
"M000859_A327005-101-xxx_NA_3275.58_TRUE_VAR5_ALK_Corticosterone (2MEOX) (2TMS) MP","Corticosterone"
"M000000_A328001-101-xxx_NA_3272.55_PRED_VAR5_ALK_NA","NA"
"M000000_A328002-101-xxx_NA_3266.81_PRED_VAR5_ALK_NA","NA"
"M001153_A328004-101-xxx_NA_3288.34_TRUE_VAR5_ALK_Cholecalciferol. 25-hydroxy- (2TMS) MP","Cholecalciferol. 25-hydroxy-"
"M000859_A328005-101-xxx_NA_3282.39_TRUE_VAR5_ALK_Corticosterone (2MEOX) (2TMS) BP","Corticosterone"
"M001154_A328006-101-xxx_NA_3288.59_TRUE_VAR5_ALK_Hydrocortisone (2MEOX) (3TMS) MP","Hydrocortisone"
"M000295_A329001-101-xxx_NA_3297.5_PRED_VAR5_ALK_Campesterol (1TMS)","Campesterol"
"M000000_A329003-101-xxx_NA_3275.4_PRED_VAR5_ALK_NA","NA"
"M000000_A329004-101-xxx_NA_3284.55_PRED_VAR5_ALK_NA","NA"
"M000000_A329005-101-xxx_NA_3284.76_PRED_VAR5_ALK_NA","NA"
"M000000_A329006-101-xxx_NA_3280.72_PRED_VAR5_ALK_NA","NA"
"M001155_A329007-101-xxx_NA_3298.55_TRUE_VAR5_ALK_Lithocholic acid (2TMS)","Lithocholic acid"
"M000000_A329008-101-xxx_NA_3288.29_PRED_VAR5_ALK_Melezitose_2_xTMS","Melezitose_2_xTMS"
"M000000_A330001-101-xxx_NA_3286.1_PRED_VAR5_ALK_NA","NA"
"M000000_A330002-101-xxx_NA_3294.15_PRED_VAR5_ALK_NA","NA"
"M000000_A330003-101-xxx_NA_3294.34_PRED_VAR5_ALK_NA","NA"
"M000568_A330004-101-xxx_NA_3292.83_PRED_VAR5_ALK_Tritriacontane. n-","Tritriacontane. n-"
"M001144_A330005-101-xxx_NA_3308.34_TRUE_VAR5_ALK_Pregn-4-ene-11beta-17alpha-diol-3-20-dione (2MEOX) (1TMS) MP","Pregn-4-ene-11beta-17alpha-diol-3-20-dione"
"M001156_A330006-101-xxx_NA_3301.67_TRUE_VAR5_ALK_Cholesterol. 22(S)-hydroxy- (2TMS)","Cholesterol. 22(S)-hydroxy-"
"M000000_A331001-101-xxx_NA_3275.16_PRED_VAR5_ALK_NA","NA"
"M000000_A331002-101-xxx_NA_3299.15_PRED_VAR5_ALK_NA","NA"
"M000813_A331003-101-xxx_NA_3343.91_TRUE_VAR5_ALK_Lanosterol. 24.25-dihydro- (1TMS)","Lanosterol. 24.25-dihydro-"
"M000000_A331004-101-xxx_NA_3295.96_PRED_VAR5_ALK_NA","NA"
"M000000_A331006-101-xxx_NA_3309.19_PRED_VAR5_ALK_NA","NA"
"M001157_A331007-101-xxx_NA_3318.7_TRUE_VAR5_ALK_Cholesterol-5beta.6beta-epoxide (1TMS)","Cholesterol-5beta.6beta-epoxide"
"M001144_A331008-101-xxx_NA_3315.15_TRUE_VAR5_ALK_Pregn-4-ene-11beta-17alpha-diol-3-20-dione (2MEOX) (1TMS) BP","Pregn-4-ene-11beta-17alpha-diol-3-20-dione"
"M000158_A332001-101-xxx_NA_3319.29_TRUE_VAR5_ALK_Stigmasterol (1TMS)","Stigmasterol"
"M000000_A332002-101-xxx_NA_3307.47_PRED_VAR5_ALK_NA","NA"
