"","Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"2286","D305620","NA","NA","NA","NA","NA","NA","NA","0"
"2287","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2288","Luteolin","Luteolin","HMDB0005800","5280445","15864","C01514",NA,"C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O","1"
"2289","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2290","Ergocalciferol","Ergocalciferol","HMDB0000900","5280793","28934","C05441","5856","C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C","1"
"2291","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2292","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2293","Adenosine-5-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"2294","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2295","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2296","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"2297","Adenosine-5-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"2298","RL3_1","NA","NA","NA","NA","NA","NA","NA","0"
"2299","18|0_10|0_Mycolic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"2300","Guanosine-5-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"2301","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2302","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2303","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2304","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2305","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2306","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2307","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2308","Acacetin","NA","NA","NA","NA","NA","NA","NA","0"
"2309","D309090","NA","NA","NA","NA","NA","NA","NA","0"
"2310","NA310001 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"2311","Hentriacontane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"2312","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2313","D317120","NA","NA","NA","NA","NA","NA","NA","0"
"2314","Quinic acid. 3-caffeoyl-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"2315","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2316","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2317","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2318","Adenosine-3'.5'-cyclic-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"2319","Pregnane-3alpha.21-diol-11.20-dione. 5beta-","NA","NA","NA","NA","NA","NA","NA","0"
"2320","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2321","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2322","Pregn-4-ene-11beta-17alpha-diol-3-20-dione","NA","NA","NA","NA","NA","NA","NA","0"
"2323","D319140","NA","NA","NA","NA","NA","NA","NA","0"
"2324","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2325","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2326","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2327","Heptacosanoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"2328","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2329","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2330","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2331","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2332","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2333","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2334","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2335","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2336","Octacosanoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"2337","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2338","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2339","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2340","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2341","Dihydrozeatin riboside","NA","NA","NA","NA","NA","NA","NA","0"
"2342","Progesterone. 11beta-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2343","Corticosterone. 11-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2344","Cortisol. 11-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2345","D323290","NA","NA","NA","NA","NA","NA","NA","0"
"2346","3'.5'-Cyclic-A","NA","NA","NA","NA","NA","NA","NA","0"
"2347","Tocopherol. alpha-","NA","NA","NA","NA","NA","NA","NA","0"
"2348","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2349","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2350","Apigenin","Apigenin","HMDB0002124","5280443","18388","C01477","3397","C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O","1"
"2351","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2352","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2353","Progesterone. 11beta-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2354","Cholestane. 3beta-hydroxy-. 5alpha-","NA","NA","NA","NA","NA","NA","NA","0"
"2355","Quinic acid. 4-caffeoyl-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"2356","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2357","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2358","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2359","2'-Deoxyguanosine 5'-phosphoric-acid","NA","NA","NA","NA","NA","NA","NA","0"
"2360","Trehalose-6-phosphate","Trehalose 6-phosphate","HMDB0001124","122336","18283","C00689","6019","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)O)O)O)O)O","1"
"2361","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2362","Tocopherolacetate. alpha-","NA","NA","NA","NA","NA","NA","NA","0"
"2363","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2364","Kaempferol","Kaempferol","HMDB0005801","5280863","28499","C05903",NA,"C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O","1"
"2365","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2366","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"2367","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2368","Quinic acid. 5-caffeoyl-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"2369","Cholesterol","Cholesterol","HMDB0000067","11025495","1307929","C00187","163","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C","1"
"2370","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2371","Quercetin","Quercetin","HMDB0005794","5280343","16243","C00389",NA,"C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O","1"
"2372","Guanosine-3'.5'-cyclic-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"2373","Progesterone. 11alpha-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2374","D327500","NA","NA","NA","NA","NA","NA","NA","0"
"2375","Dotriacontane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"2376","Ubidihydroquinone Q4","NA","NA","NA","NA","NA","NA","NA","0"
"2377","Myricetin","Myricetin","HMDB0002755","5281672","18152","C10107","3448","C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O","1"
"2378","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2379","Guanosine-2'.3'-cyclic-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"2380","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2381","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2382","Ubidihydroquinone Q4","NA","NA","NA","NA","NA","NA","NA","0"
"2383","Nonacosanoic acid","Nonacosanoic acid","HMDB0002230","20245","84867","","4214","CCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"2384","Progesterone. 11alpha-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2385","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2386","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2387","Octacosanoic acid","Octacosanoic acid","HMDB0002348","10470","31001","","6638","CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"2388","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2389","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2390","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2391","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2392","Melezitose_1_xTMS","NA","NA","NA","NA","NA","NA","NA","0"
"2393","RLL-1","NA","NA","NA","NA","NA","NA","NA","0"
"2394","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2395","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2396","18|0_12|0_Mycolic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"2397","Ergosterol","Ergosterol","HMDB0000878","21775588","16933","C01694","5839","C[C@H](/C=C/[C@H](C)C(C)C)C1CCC2[C@@]1(CCC3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C","1"
"2398","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2399","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2400","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2401","Corticosterone","Corticosterone","HMDB0001547","5753","16827","C02140","6314","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O","1"
"2402","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2403","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2404","Cholecalciferol. 25-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2405","Corticosterone","Corticosterone","HMDB0001547","5753","16827","C02140","6314","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O","1"
"2406","Hydrocortisone","Hydrocortisone","HMDB0014879","5754","17650","C00735",NA,"C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O","1"
"2407","Campesterol","Campesterol","HMDB0002869","5283637","19809","C01789","167","C[C@H](CC[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C","1"
"2408","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2409","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2410","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2411","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2412","Lithocholic acid","Lithocholic acid","HMDB0000761","11740284","16325","C03990","209","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4[C@@]3(CC[C@H](C4)O)C)C","1"
"2413","Melezitose_2_xTMS","NA","NA","NA","NA","NA","NA","NA","0"
"2414","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2415","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2416","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2417","Tritriacontane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"2418","Pregn-4-ene-11beta-17alpha-diol-3-20-dione","NA","NA","NA","NA","NA","NA","NA","0"
"2419","Cholesterol. 22(S)-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2420","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2421","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2422","Lanosterol. 24.25-dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"2423","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2424","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2425","Cholesterol-5beta.6beta-epoxide","NA","NA","NA","NA","NA","NA","NA","0"
"2426","Pregn-4-ene-11beta-17alpha-diol-3-20-dione","NA","NA","NA","NA","NA","NA","NA","0"
"2427","Stigmasterol","Stigmasterol","HMDB0000937","5280794","28824","C05442","168","CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C","1"
"2428","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2429","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2430","Cholecalciferol. 25-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2431","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2432","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2433","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2434","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2435","Cholesterol. 20alpha-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2436","Chenodeoxycholic acid","Chenodeoxycholic acid","HMDB0000518","10133","16755","C02528","207","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"2437","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2438","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2439","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2440","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2441","Triacontanoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"2442","Tetrahydroalstonine","NA","NA","NA","NA","NA","NA","NA","0"
"2443","Tetrahydroalstonine","NA","NA","NA","NA","NA","NA","NA","0"
"2444","Fluorescein","Fluorescein","HMDB0014831","16850","31624","",NA,"C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O","1"
"2445","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2446","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2447","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2448","Purine. 6-benzylamino-. 9-beta-D-glucopyranosyl-","NA","NA","NA","NA","NA","NA","NA","0"
"2449","Melezitose_3_xTMS","NA","NA","NA","NA","NA","NA","NA","0"
"2450","Fucosterol","Fucosterol","HMDB0030021",NA,"27865","C08817",NA,"C\C=C(\C(C)C)CC[C@@H](C)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C","1"
"2451","Stigmastan-3-ol. (3-beta)-","NA","NA","NA","NA","NA","NA","NA","0"
"2452","Raffinose","Raffinose","HMDB0003213","10542","397485","C00492","138","C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O","1"
"2453","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2454","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2455","Fluorescein. 5(6)-carboxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2456","Lanosterol","Lanosterin","HMDB0001251","246983","16521","C01724","6108","C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C","1"
"2457","Sitosterol. beta-","NA","NA","NA","NA","NA","NA","NA","0"
"2458","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2459","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2460","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2461","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2462","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2463","Phylloquinone","Vitamin K1","HMDB0003555","5280483","583972","C02059","6952","CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C","1"
"2464","Obtusifoliol","Obtusifoliol","HMDB0001242","656449",NA,"C01943","6102","CC(CCC=C(C)C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)CO","1"
"2465","Sphingosine. O-1-beta-galactosyl-","NA","NA","NA","NA","NA","NA","NA","0"
"2466","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2467","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2468","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2469","Phylloquinone","Vitamin K1","HMDB0003555","5280483","583972","C02059","6952","CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C","1"
"2470","Quinic acid. 1-caffeoyl-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"2471","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2472","Kestose. 1-","NA","NA","NA","NA","NA","NA","NA","0"
"2473","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2474","Tetratriacontane","NA","NA","NA","NA","NA","NA","NA","0"
"2475","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2476","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2477","Rosmarinic acid","Rosmarinic acid","HMDB0003572","5281792","50371","C01850","6960","C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O","1"
"2478","Kestose. 6-","NA","NA","NA","NA","NA","NA","NA","0"
"2479","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2480","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2481","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2482","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2483","Unknown#sst-cgl-129","NA","NA","NA","NA","NA","NA","NA","0"
"2484","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2485","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2486","Triacontanoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"2487","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2488","Hentriacontanoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"2489","Sphingosine. O-1-beta-galactosyl-","NA","NA","NA","NA","NA","NA","NA","0"
"2490","18|1_14|0_Mycolic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"2491","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2492","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2493","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2494","NA343004","NA","NA","NA","NA","NA","NA","NA","0"
"2495","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2496","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2497","Phyllodihydroquinone","NA","NA","NA","NA","NA","NA","NA","0"
"2498","18|0_14|0_Mycolic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"2499","Cycloartenol","NA","NA","NA","NA","NA","NA","NA","0"
"2500","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2501","Cycloeucalenol","Cycloeucalenol","METPA0253",NA,NA,"C02141",NA,NA,"1"
"2502","Melezitose","Melezitose","HMDB0011730","92817","6731","C08243",NA,"C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@@]2(CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)CO)O)O)O)O)O","1"
"2503","NA346003","NA","NA","NA","NA","NA","NA","NA","0"
"2504","Unknown#sst-cgl-130","NA","NA","NA","NA","NA","NA","NA","0"
"2505","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2506","Purine. 6-benzylamino-. 9-beta-D-glucopyranosyl-","NA","NA","NA","NA","NA","NA","NA","0"
"2507","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2508","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2509","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2510","Phyllodihydroquinone","NA","NA","NA","NA","NA","NA","NA","0"
"2511","Lysine. N6-biotinyl-","NA","NA","NA","NA","NA","NA","NA","0"
"2512","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2513","Unknown#sst-cgl-131","NA","NA","NA","NA","NA","NA","NA","0"
"2514","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2515","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2516","Pentatriacontane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"2517","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2518","Phylloquinone","Vitamin K1","HMDB0003555","5280483","583972","C02059","6952","CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C","1"
"2519","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2520","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2521","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2522","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2523","Hentriacontanoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"2524","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2525","Unknown#sst-cgl-133","NA","NA","NA","NA","NA","NA","NA","0"
"2526","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2527","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2528","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2529","Cellotriose","Cellotriose","METPA0796",NA,NA,"C06219",NA,NA,"1"
"2530","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2531","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2532","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2533","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2534","Maltotriose","Maltotriose","HMDB0001262","439586","27931","C01835","3585","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O","1"
"2535","Maltotriitol","NA","NA","NA","NA","NA","NA","NA","0"
"2536","Fluorescein. 5(6)-carboxy-","NA","NA","NA","NA","NA","NA","NA","0"
"2537","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2538","Zeatin. 9-beta-ribofuranosyl-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"2539","Zeatin. 9-beta-ribofuranosyl-. trans-  RI not applicable","NA","NA","NA","NA","NA","NA","NA","0"
"2540","Maltotriose_1_xTMS","NA","NA","NA","NA","NA","NA","NA","0"
"2541","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2542","Phylloquinone","Vitamin K1","HMDB0003555","5280483","583972","C02059","6952","CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C","1"
"2543","Maltotriose","Maltotriose","HMDB0001262","439586","27931","C01835","3585","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O","1"
"2544","Oleanolic acid","Oleanolic acid","HMDB0002364","10494","37659","C17148",NA,"C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O","1"
"2545","Phyllohydroquinone","Vitamin K1","HMDB0003555","5280483","583972","C02059","6952","CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C","1"
"2546","Maltotriose_2_xTMS","NA","NA","NA","NA","NA","NA","NA","0"
"2547","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2548","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2549","Hexatriacontane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"2550","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2551","Ursolic acid","Ursolic acid","HMDB0002395","64945","9908","C08988",NA,"C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O","1"
"2552","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2553","18|0_16|1_Mycolic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"2554","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2555","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2556","20|0_14|0_Mycolic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"2557","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2558","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2559","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2560","NA367002","NA","NA","NA","NA","NA","NA","NA","0"
"2561","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2562","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2563","Oleanolic acid. 3-acetoxy- (3-beta-)-","NA","NA","NA","NA","NA","NA","NA","0"
"2564","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2565","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2566","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2567","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2568","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2569","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2570","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2571","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2572","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2573","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2574","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2575","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2576","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2577","RL3_2","NA","NA","NA","NA","NA","NA","NA","0"
"2578","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2579","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2580","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2581","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2582","20|1_16|1_Mycolic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"2583","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2584","20|0_16|1_Mycolic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"2585","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2586","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2587","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2588","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2589","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2590","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2591","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2592","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2593","NA","NA","NA","NA","NA","NA","NA","NA","0"
"2594","NA426001","NA","NA","NA","NA","NA","NA","NA","0"
"2595","1,3-Diaminopropane dihydrochloride","NA","NA","NA","NA","NA","NA","NA","0"
"2596","1,3-Dihydroxyacetone dimer","Dihydroxyacetone (dimer)","HMDB0032222","4180364",NA,"",NA,"C1C(OCC(O1)(CO)O)(CO)O","1"
"2597","Citric acid","Citric acid","HMDB0000094","311","30769","C00158","124","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
